cusip,type,issuer
G16234959,PUT,BROOKFIELD BUSINESS
D18190898,NAMEN,DEUTSCHE BANK
G16249957,PUT,BROOKFIELD PROPERTY
G16252901,CALL,BROOKFIELD INFRAST
F21107951,PUT,CONSTELLIUM SE
G16258908,CALL,BROOKFIELD RENEWABLE
G16258958,PUT,BROOKFIELD RENEWABLE
G16962105,COM,BUNGE LIMITED
G16962905,CALL,BUNGE LIMITED
G16962955,PUT,BUNGE LIMITED
G01125106,COM,AFYA LTD
G17766109,SHS,CAMBIUM NETWORKS
G1890L107,SHS,CAPRI HOLDINGS
G1890L907,CALL,CAPRI HOLDINGS
G0132V105,SHS,AGM GROUP
G1991C105,SHS,CARDTRONICS PLC
G1991C905,CALL,CARDTRONICS PLC
G0120M109,SHS,AGBA ACQUISITION
G20045902,CALL,CENTRAL EUROPEAN
